1,-1.25,-5.75,145,0,-23,-6.5,25,0,0,0,0,,1
2,8.5,-3,90,0,8.5,-0.75,165,0,0,0,0,,1
3,3.0,-1.0,95,2.0,-22.25,-4.0,90,0.0,3,0,0,,1
4,0.5,-5.75,125,0.0,-16.25,-5.0,15,0.0,0,1,1,test de commentaire a ÈÈÈÈÈÈÈÈÈÈ‡‡‡‡‡‡‡‡‡‡,1
5,7.75,-1.25,170,0,4.25,-5,70,0,0,0,0,,1
6,-17.0,-5.75,85,0.0,-12.5,-5.0,55,0.0,0,0,1,test,1
7,-14.25,-5.75,5,0,-2.75,-5.75,115,0,0,0,0,,1
8,-3,-1,80,0,10.25,-3.75,25,0,0,0,0,,1
9,-23.75,-2.75,55,0,14.25,-1.75,20,0,0,0,0,,1
10,14.75,-1.5,145,0,2,-6,65,0,0,0,0,,1
11,14,-2.5,100,0,-24,-5.5,125,0,0,0,0,,1
12,-11,-3,115,0,-24.5,-3,125,0,0,0,0,,1
13,-5.75,-4.25,5,0,5,-2.25,75,0,0,0,1,,1
14,-1.5,-3,135,0,3.75,-1.25,75,0,0,0,1,,1
15,-4.5,-2.5,85,0,-20,-5,170,0,0,0,1,,1
16,5.5,-4.5,175,0,14.5,-2,40,0,0,0,0,,1
17,8,-4.5,30,0,2.75,-0.75,105,0,0,0,1,,1
18,-15.25,-2,105,0,4.25,-1,45,0,0,0,0,,1
19,1.5,-1.75,170,0,1.75,0,55,0,0,0,0,,1
20,5.75,-5.0,75,0.0,3.0,-0.25,5,0.0,0,0,0,,1
21,-11,-2.75,60,0,-21.25,-2.75,135,0,0,0,0,,1
22,-1.5,-6.75,95,0,2.25,-4.75,170,0,0,0,0,,1
23,-9,-0.5,110,0,-10,-6,105,0,0,0,0,,1
24,-9,-4.5,100,0,3.75,-5,170,0,0,0,0,,1
25,-9.75,-5.25,105,0,7,-3.25,115,0,0,0,1,,1
26,-19.25,-6,160,0.75,6,-2,60,0,1,0,0,,1
27,-14,-6.5,145,0,-24.5,-3.5,135,0,0,0,0,,1
28,-12.75,-1.75,15,0,-9.75,-2,130,0,0,0,0,,1
29,-17.75,-2,155,0,-15.75,-3,50,0,0,0,0,,1
30,-3.5,0,65,0,-4,-2.75,55,0,0,0,0,,1
31,-14.25,-4.75,55,0,12.75,-6.75,145,0,0,0,1,,1
32,-2.5,-4,155,0,-10,-2,110,0,0,0,1,,1
33,-14.25,-4.75,175,0,14,-0.25,40,0,0,0,0,,1
34,-15,-2,75,0,12.75,-3,60,0,0,0,0,,1
35,-1.75,0,160,0,-17,-1.75,80,0,0,0,0,,1
36,-7.25,-1.25,100,0,3,-3,155,0,0,0,1,,1
37,-21,-2,10,0,-22,-1.75,40,0,0,0,0,,1
38,11,-3.5,15,0,-4.25,-1.5,95,0,0,0,1,,1
39,-0.25,-6,160,0,-16.25,-5,45,0,0,0,0,,1
40,6,-6,70,3,-5,-3.25,170,0,3,0,0,,1
41,-13.5,-0.25,130,0,10,-2.75,45,0,0,0,0,,1
42,2,-5.5,150,0,-16.25,-4.5,180,0,0,0,1,,1
43,-0.25,-0.25,145,0,14.75,-4.5,100,0,0,0,1,,1
44,-12,-3,165,0,-24,-0.25,135,0,0,0,1,,1
45,-19.5,-1.75,100,0,-7.75,-7,180,0,0,0,0,,1
46,-23.5,-3.5,50,0,11.5,-7,180,0,0,0,0,,1
47,-19.75,-5.5,65,0,-24.25,-1,175,0,0,1,0,,1
48,-19.5,-1,100,0,12.5,-4,160,0,0,0,0,,1
49,11.25,-3.5,145,0,7.25,-0.75,70,0,0,0,0,,1
50,7.5,-4.25,155,0,9.75,-4.25,35,0,0,0,0,,1
